Column 1,What type of car did you see most often on the way to UOA,How many SUV's did you see on your trip to UOA,Which fuel type do you notice most often on your trip to UOA,What car brand did you notice most on your trip to UOA
,Sedan,30,Hybrid,Toyota
,SUV,26,Petrol,Nissan
,SUV,22,Petrol,Toyota
,SUV,63,Petrol,Nissan
,SUV,58,Electric,Tesla
,SUV,44,Hybrid,Toyota
,Sedan,44,Hybrid,Toyota
,SUV,44,Petrol,Toyota
,Sedan,53,Petrol,Toyota
,SUV,33,Petrol,other
,SUV,51,Petrol,Toyota
,SUV,33,Petrol,Toyota
,SUV,48,Petrol,Toyota
,SUV,21,Petrol,Mazda
,Sedan,27,Petrol,Toyota
,SUV,39,Petrol,Toyota
,Sedan,27,Petrol,other
,Hatchback,24,Hybrid,Toyota
,SUV,41,Hybrid,Nissan
,SUV,33,Petrol,other